Name,Position,Age,Team From,League From,Team To,League To,Season,Transfer Fee
Rob Hulse,Centre-Forward,26,Leeds,Championship,Sheffield Utd.,Premier League,2006-2007,3450000.0
David Cotterill,Right Winger,18,Bristol City,League One,Wigan,Premier League,2006-2007,3200000.0
Steed Malbranque,Central Midfield,26,Fulham,Premier League,Tottenham,Premier League,2006-2007,3000000.0
Andreas Isaksson,Goalkeeper,24,Stade Rennais,Ligue 1,Manchester City,Premier League,2006-2007,3000000.0
Robert Green,Goalkeeper,26,Norwich,Championship,West Ham,Premier League,2006-2007,3000000.0
Bernardo Corradi,Centre-Forward,30,Valencia CF,LaLiga,Manchester City,Premier League,2006-2007,3000000.0
Carlton Cole,Centre-Forward,22,Chelsea,Premier League,West Ham,Premier League,2006-2007,3000000.0
Amdy Fayé,Defensive Midfield,29,Newcastle,Premier League,Charlton,Premier League,2006-2007,3000000.0
André Ooijer,Centre-Back,32,PSV Eindhoven,Eredivisie,Blackburn,Premier League,2006-2007,3000000.0
Abdoulaye Fayé,Centre-Back,28,Lens,Ligue 1,Bolton,Premier League,2006-2007,3000000.0
Clint Dempsey,Second Striker,23,Revolution,MLS,Fulham,Premier League,2006-2007,3000000.0
Djimi Traoré,Centre-Back,26,Liverpool,Premier League,Charlton,Premier League,2006-2007,2800000.0
Gabriel Paletta,Centre-Back,20,CA Banfield,Torneo Final,Liverpool,Premier League,2006-2007,2700000.0
Luton Shelton,Left Winger,21,Helsingborg,Allsvenskan,Sheffield Utd.,Premier League,2006-2007,2700000.0
Kevin Kilbane,Left Midfield,29,Everton,Premier League,Wigan,Premier League,2006-2007,2500000.0
Fernando Torres,Centre-Forward,23,Atlético Madrid,LaLiga,Liverpool,Premier League,2007-2008,38000000.0
Anderson,Central Midfield,19,FC Porto,Liga NOS,Manchester United,Premier League,2007-2008,31500000.0
Nani,Left Winger,20,Sporting CP,Liga NOS,Manchester United,Premier League,2007-2008,25500000.0
Owen Hargreaves,Defensive Midfield,26,Bayern Munich ,1.Bundesliga,Manchester United,Premier League,2007-2008,25000000.0
Darren Bent,Centre-Forward,23,Charlton,Championship,Tottenham,Premier League,2007-2008,24750000.0
Florent Malouda,Central Midfield,27,Olympique Lyon,Ligue 1,Chelsea,Premier League,2007-2008,19000000.0
Nicolas Anelka,Centre-Forward,28,Bolton,Premier League,Chelsea,Premier League,2007-2008,18000000.0
Ryan Babel,Left Winger,20,AFC Ajax,Eredivisie,Liverpool,Premier League,2007-2008,17250000.0
Afonso Alves,Centre-Forward,26,Heerenveen,Eredivisie,Middlesbrough,Premier League,2007-2008,17000000.0
Yakubu Aiyegbeni,Centre-Forward,24,Middlesbrough,Premier League,Everton,Premier League,2007-2008,16500000.0
Gareth Bale,Right Winger,17,Southampton,Championship,Tottenham,Premier League,2007-2008,14700000.0
Eduardo,Centre-Forward,24,Dinamo Zagreb,1.HNL,Arsenal,Premier League,2007-2008,13500000.0
Rolando Bianchi,Centre-Forward,24,Reggina,Serie A,Manchester City,Premier League,2007-2008,13000000.0
Alan Hutton,Right-Back,23,Rangers,Premiership,Tottenham,Premier League,2007-2008,13000000.0
Vedran Corluka,Centre-Back,21,Dinamo Zagreb,1.HNL,Manchester City,Premier League,2007-2008,13000000.0
Nigel Reo-Coker,Defensive Midfield,23,West Ham,Premier League,Aston Villa,Premier League,2007-2008,12500000.0
Branislav Ivanovic,Centre-Back,23,Loko Moscow,Premier Liga,Chelsea,Premier League,2007-2008,12000000.0
Kieron Dyer,Right Midfield,28,Newcastle,Premier League,West Ham,Premier League,2007-2008,12000000.0
Elano,Attacking Midfield,26,Shakhtar D.,Premier Liga,Manchester City,Premier League,2007-2008,12000000.0
Younès Kaboul,Centre-Back,21,AJ Auxerre,Ligue 1,Tottenham,Premier League,2007-2008,12000000.0
Craig Bellamy,Left Winger,28,Liverpool,Premier League,West Ham,Premier League,2007-2008,11250000.0
Craig Gordon,Goalkeeper,24,Heart of Midl.,Premiership,Sunderland,Premier League,2007-2008,10820000.0
Jonathan Woodgate,Centre-Back,28,Middlesbrough,Premier League,Tottenham,Premier League,2007-2008,10800000.0
Sulley Muntari,Central Midfield,22,Udinese Calcio,Serie A,Portsmouth,Premier League,2007-2008,10510000.0
Martin Skrtel,Centre-Back,23,Zenit S-Pb,Premier Liga,Liverpool,Premier League,2007-2008,10000000.0
Lucas Leiva,Defensive Midfield,20,Grêmio,Série A,Liverpool,Premier League,2007-2008,10000000.0
John Utaka,Left Winger,25,Stade Rennais,Ligue 1,Portsmouth,Premier League,2007-2008,10000000.0
Scott Parker,Central Midfield,26,Newcastle,Premier League,West Ham,Premier League,2007-2008,9700000.0
Jonathan Woodgate,Centre-Back,27,Real Madrid,LaLiga,Middlesbrough,Premier League,2007-2008,9600000.0
Jermain Defoe,Centre-Forward,25,Spurs,Premier League,Portsmouth,Premier League,2007-2008,9300000.0
Julien Faubert,Defensive Midfield,24,G. Bordeaux,Ligue 1,West Ham,Premier League,2007-2008,9150000.0
Bacary Sagna,Right-Back,24,AJ Auxerre,Ligue 1,Arsenal,Premier League,2007-2008,9000000.0
Alan Smith,Central Midfield,26,Man Utd,Premier League,Newcastle,Premier League,2007-2008,9000000.0
Diomansy Kamara,Right Winger,26,West Brom,Championship,Fulham,Premier League,2007-2008,9000000.0
David Nugent,Centre-Forward,22,Preston NE,Championship,Portsmouth,Premier League,2007-2008,9000000.0
Kenwyne Jones,Centre-Forward,22,Southampton,Championship,Sunderland,Premier League,2007-2008,9000000.0
Mido,Centre-Forward,24,Spurs,Premier League,Middlesbrough,Premier League,2007-2008,8800000.0
José Enrique,Left-Back,21,Villarreal CF,LaLiga,Newcastle,Premier League,2007-2008,8700000.0
Joey Barton,Central Midfield,24,Man City,Premier League,Newcastle,Premier League,2007-2008,8600000.0
Kieran Richardson,Left-Back,22,Man Utd,Premier League,Sunderland,Premier League,2007-2008,8200000.0
Valeri Bojinov,Centre-Forward,21,Fiorentina,Serie A,Manchester City,Premier League,2007-2008,8000000.0
Kevin-Prince Boateng,Central Midfield,20,Hertha BSC,1.Bundesliga,Tottenham,Premier League,2007-2008,7900000.0
Leighton Baines,Left-Back,22,Wigan,Premier League,Everton,Premier League,2007-2008,7500000.0
Gary O'Neil,Central Midfield,24,Portsmouth,Premier League,Middlesbrough,Premier League,2007-2008,7500000.0
James McFadden,Second Striker,24,Everton,Premier League,Birmingham,Premier League,2007-2008,7500000.0
Michael Chopra,Centre-Forward,23,Cardiff,Championship,Sunderland,Premier League,2007-2008,7500000.0
Yossi Benayoun,Right Winger,27,West Ham,Premier League,Liverpool,Premier League,2007-2008,7300000.0
Martin Petrov,Left Winger,28,Atlético Madrid,LaLiga,Manchester City,Premier League,2007-2008,7000000.0
Lassana Diarra,Defensive Midfield,22,Arsenal,Premier League,Portsmouth,Premier League,2007-2008,7000000.0
Felipe Caicedo,Centre-Forward,19,FC Basel,Super League,Manchester City,Premier League,2007-2008,7000000.0
Jason Koumas,Attacking Midfield,27,West Brom,Championship,Wigan,Premier League,2007-2008,6900000.0
Fabrice Muamba,Central Midfield,19,Arsenal,Premier League,Birmingham,Premier League,2007-2008,6000000.0
Andy Reid,Left Midfield,25,Charlton,Championship,Sunderland,Premier League,2007-2008,6000000.0
Phil Jagielka,Centre-Back,24,Sheffield Utd.,Championship,Everton,Premier League,2007-2008,6000000.0
Gary Cahill,Centre-Back,22,Aston Villa,Premier League,Bolton,Premier League,2007-2008,6000000.0
Steven Davis,Central Midfield,22,Aston Villa,Premier League,Fulham,Premier League,2007-2008,5900000.0
Juliano Belletti,Right-Back,31,FC Barcelona,LaLiga,Chelsea,Premier League,2007-2008,5500000.0
Marlon Harewood,Centre-Forward,27,West Ham,Premier League,Aston Villa,Premier League,2007-2008,5500000.0
Glen Johnson,Right-Back,22,Chelsea,Premier League,Portsmouth,Premier League,2007-2008,5500000.0
Gelson Fernandes,Defensive Midfield,20,FC Sion,Super League,Manchester City,Premier League,2007-2008,5500000.0
Grétar Steinsson,Right-Back,25,AZ Alkmaar,Eredivisie,Bolton,Premier League,2007-2008,5250000.0
Robert Earnshaw,Centre-Forward,26,Norwich,Championship,Derby,Premier League,2007-2008,5200000.0
Benjani,Centre-Forward,29,Portsmouth,Premier League,Manchester City,Premier League,2007-2008,5200000.0
Greg Halford,Centre-Back,22,Reading,Premier League,Sunderland,Premier League,2007-2008,5200000.0
Papa Bouba Diop,Defensive Midfield,29,Fulham,Premier League,Portsmouth,Premier League,2007-2008,5000000.0
Roque Santa Cruz,Centre-Forward,25,Bayern Munich ,1.Bundesliga,Blackburn,Premier League,2007-2008,5000000.0
Matthew Taylor,Left Midfield,26,Portsmouth,Premier League,Bolton,Premier League,2007-2008,4700000.0
Zat Knight,Centre-Back,27,Fulham,Premier League,Aston Villa,Premier League,2007-2008,4700000.0
Freddie Ljungberg,Attacking Midfield,30,Arsenal,Premier League,West Ham,Premier League,2007-2008,4500000.0
Kenny Miller,Centre-Forward,27,Celtic,Premiership,Derby,Premier League,2007-2008,4500000.0
Hameur Bouazza,Right Winger,22,Watford,Championship,Fulham,Premier League,2007-2008,4500000.0
Claude Davis,Centre-Back,28,Sheffield Utd.,Championship,Derby,Premier League,2007-2008,4500000.0
Chris Baird,Defensive Midfield,25,Southampton,Championship,Fulham,Premier League,2007-2008,4500000.0
Franco Di Santo,Centre-Forward,18,Audax Italiano, Chile,Chelsea,Premier League,2007-2008,4500000.0
Lukasz Fabianski,Goalkeeper,22,Legia Warszawa,Ekstraklasa,Arsenal,Premier League,2007-2008,4350000.0
David Rozehnal,Centre-Back,27,Paris SG,Ligue 1,Newcastle,Premier League,2007-2008,4300000.0
Tomasz Kuszczak,Goalkeeper,25,West Brom,Championship,Manchester United,Premier League,2007-2008,4300000.0
Leon Andreasen,Central Midfield,24,Werder Bremen,1.Bundesliga,Fulham,Premier League,2007-2008,4300000.0
Tim Howard,Goalkeeper,28,Man Utd,Premier League,Everton,Premier League,2007-2008,4200000.0
Garry O'Connor,Centre-Forward,24,Loko Moscow,Premier Liga,Birmingham,Premier League,2007-2008,4000000.0
Marlon King,Centre-Forward,27,Watford,Championship,Wigan,Premier League,2007-2008,4000000.0
Adel Taarabt,Attacking Midfield,18,Lens,Ligue 1,Tottenham,Premier League,2007-2008,4000000.0
Robinho,Left Winger,24,Real Madrid,LaLiga,Manchester City,Premier League,2008-2009,43000000.0
Dimitar Berbatov,Centre-Forward,27,Spurs,Premier League,Manchester United,Premier League,2008-2009,38000000.0
Robbie Keane,Centre-Forward,28,Spurs,Premier League,Liverpool,Premier League,2008-2009,24000000.0
Jô,Centre-Forward,21,CSKA Moscow,Premier Liga,Manchester City,Premier League,2008-2009,24000000.0
Javier Mascherano,Defensive Midfield,24,West Ham,Premier League,Liverpool,Premier League,2008-2009,22500000.0
David Bentley,Right Midfield,23,Blackburn,Premier League,Tottenham,Premier League,2008-2009,22000000.0
Marouane Fellaini,Central Midfield,20,Standard Liège,Jupiler Pro League,Everton,Premier League,2008-2009,21760000.0
Luka Modric,Central Midfield,22,Dinamo Zagreb,1.HNL,Tottenham,Premier League,2008-2009,21000000.0
Bosingwa,Right-Back,25,FC Porto,Liga NOS,Chelsea,Premier League,2008-2009,20500000.0
Nigel de Jong,Defensive Midfield,24,Hamburger SV,1.Bundesliga,Manchester City,Premier League,2008-2009,18000000.0
Roman Pavlyuchenko,Centre-Forward,26,Spartak Moscow,Premier Liga,Tottenham,Premier League,2008-2009,17400000.0
Robbie Keane,Centre-Forward,28,Liverpool,Premier League,Tottenham,Premier League,2008-2009,16700000.0
Andrey Arshavin,Second Striker,27,Zenit S-Pb,Premier Liga,Arsenal,Premier League,2008-2009,16500000.0
Jermain Defoe,Centre-Forward,26,Portsmouth,Premier League,Tottenham,Premier League,2008-2009,16400000.0
Samir Nasri,Left Winger,21,Marseille,Ligue 1,Arsenal,Premier League,2008-2009,16000000.0
Craig Bellamy,Left Winger,29,West Ham,Premier League,Manchester City,Premier League,2008-2009,15500000.0
James Milner,Central Midfield,22,Newcastle,Premier League,Aston Villa,Premier League,2008-2009,15000000.0
Wilson Palacios,Defensive Midfield,24,Wigan,Premier League,Tottenham,Premier League,2008-2009,15000000.0
Vedran Corluka,Centre-Back,22,Man City,Premier League,Tottenham,Premier League,2008-2009,13750000.0
Peter Crouch,Centre-Forward,27,Liverpool,Premier League,Portsmouth,Premier League,2008-2009,13700000.0
Andy Johnson,Centre-Forward,27,Everton,Premier League,Fulham,Premier League,2008-2009,13300000.0
Fabricio Coloccini,Centre-Back,26,Dep. La Coruña,LaLiga,Newcastle,Premier League,2008-2009,13000000.0
Wayne Bridge,Left-Back,28,Chelsea,Premier League,Manchester City,Premier League,2008-2009,13000000.0
Johan Elmander,Centre-Forward,27,Toulouse,Ligue 1,Bolton,Premier League,2008-2009,12600000.0
Shaun Wright-Phillips,Right Winger,26,Chelsea,Premier League,Manchester City,Premier League,2008-2009,11250000.0
Deco,Attacking Midfield,30,FC Barcelona,LaLiga,Chelsea,Premier League,2008-2009,10000000.0
Carlos Cuéllar,Centre-Back,26,Rangers,Premiership,Aston Villa,Premier League,2008-2009,10000000.0
Anton Ferdinand,Centre-Back,23,West Ham,Premier League,Sunderland,Premier League,2008-2009,10000000.0
Curtis Davies,Centre-Back,23,West Brom,Premier League,Aston Villa,Premier League,2008-2009,10000000.0
Albert Riera,Left Winger,26,Espanyol,LaLiga,Liverpool,Premier League,2008-2009,9800000.0
Shay Given,Goalkeeper,32,Newcastle,Premier League,Manchester City,Premier League,2008-2009,9000000.0
Heurelho Gomes,Goalkeeper,27,PSV Eindhoven,Eredivisie,Tottenham,Premier League,2008-2009,9000000.0
Andrea Dossena,Left Midfield,26,Udinese Calcio,Serie A,Liverpool,Premier League,2008-2009,9000000.0
Pablo Zabaleta,Right-Back,23,Espanyol,LaLiga,Manchester City,Premier League,2008-2009,8700000.0
Vincent Kompany,Centre-Back,22,Hamburger SV,1.Bundesliga,Manchester City,Premier League,2008-2009,8500000.0
Savio Nsereko,Right Winger,19,Brescia,Serie B,West Ham,Premier League,2008-2009,8500000.0
Dave Kitson,Centre-Forward,28,Reading,Championship,Stoke City,Premier League,2008-2009,7000000.0
Zoran Tosic,Right Winger,21,Partizan,SuperLiga,Manchester United,Premier League,2008-2009,7000000.0
Charles N'Zogbia,Right Winger,22,Newcastle,Premier League,Wigan,Premier League,2008-2009,6400000.0
Aaron Ramsey,Central Midfield,17,Cardiff,Championship,Arsenal,Premier League,2008-2009,6400000.0
Fabrice Muamba,Central Midfield,20,Birmingham,Championship,Bolton,Premier League,2008-2009,6400000.0
Tal Ben Haim,Centre-Back,26,Chelsea,Premier League,Manchester City,Premier League,2008-2009,6400000.0
Valon Behrami,Defensive Midfield,23,Lazio,Serie A,West Ham,Premier League,2008-2009,6300000.0
Steve Sidwell,Central Midfield,25,Chelsea,Premier League,Aston Villa,Premier League,2008-2009,6300000.0
Younès Kaboul,Centre-Back,22,Spurs,Premier League,Portsmouth,Premier League,2008-2009,6250000.0
Giovani dos Santos,Second Striker,19,FC Barcelona,LaLiga,Tottenham,Premier League,2008-2009,6000000.0
Borja Valero,Central Midfield,23,RCD Mallorca,LaLiga,West Brom,Premier League,2008-2009,5900000.0
Jonás Gutiérrez,Left Midfield,25,RCD Mallorca,LaLiga,Newcastle,Premier League,2008-2009,5800000.0
Xisco,Centre-Forward,22,Dep. La Coruña,LaLiga,Newcastle,Premier League,2008-2009,5680000.0
George McCartney,Left-Back,27,West Ham,Premier League,Sunderland,Premier League,2008-2009,5500000.0
Jimmy Bullard,Central Midfield,30,Fulham,Premier League,Hull City,Premier League,2008-2009,5300000.0
Steed Malbranque,Central Midfield,28,Spurs,Premier League,Sunderland,Premier League,2008-2009,5000000.0
Didier Digard,Defensive Midfield,21,Paris SG,Ligue 1,Middlesbrough,Premier League,2008-2009,5000000.0
Hugo Rodallega,Centre-Forward,23,Necaxa,Liga MX Clausura,Wigan,Premier League,2008-2009,4800000.0
Kevin Nolan,Attacking Midfield,26,Bolton,Premier League,Newcastle,Premier League,2008-2009,4500000.0
Nadir Belhadj,Left-Back,26,Lens,Ligue 2,Portsmouth,Premier League,2008-2009,4500000.0
Nicky Shorey,Left-Back,27,Reading,Championship,Aston Villa,Premier League,2008-2009,4400000.0
Paul Robinson,Goalkeeper,28,Spurs,Premier League,Blackburn,Premier League,2008-2009,4400000.0
Olivier Kapo,Attacking Midfield,27,Birmingham,Championship,Wigan,Premier League,2008-2009,4400000.0
Lee Cattermole,Defensive Midfield,20,Middlesbrough,Premier League,Wigan,Premier League,2008-2009,4400000.0
Diego Cavalieri,Goalkeeper,25,Palmeiras,Série A,Liverpool,Premier League,2008-2009,4400000.0
Danny Guthrie,Central Midfield,21,Liverpool,Premier League,Newcastle,Premier League,2008-2009,4300000.0
Bobby Zamora,Centre-Forward,27,West Ham,Premier League,Fulham,Premier League,2008-2009,4100000.0
Scott Carson,Goalkeeper,22,Liverpool,Premier League,West Brom,Premier League,2008-2009,4000000.0
Vince Grella,Central Midfield,28,Torino,Serie A,Blackburn,Premier League,2008-2009,4000000.0
Gianni Zuiverloon,Centre-Back,21,Heerenveen,Eredivisie,West Brom,Premier League,2008-2009,4000000.0
James Beattie,Centre-Forward,30,Sheffield Utd.,Championship,Stoke City,Premier League,2008-2009,4000000.0
Marvin Emnes,Centre-Forward,20,Sparta R.,Eredivisie,Middlesbrough,Premier League,2008-2009,4000000.0
Seyi Olofinjana,Central Midfield,28,Wolves,Championship,Stoke City,Premier League,2008-2009,3800000.0
John Paintsil,Right-Back,27,West Ham,Premier League,Fulham,Premier League,2008-2009,3800000.0
Justin Hoyte,Right-Back,23,Arsenal,Premier League,Middlesbrough,Premier League,2008-2009,3800000.0
Emmanuel Adebayor,Centre-Forward,25,Arsenal,Premier League,Manchester City,Premier League,2009-2010,29000000.0
Carlos Tévez,Second Striker,25,West Ham,Premier League,Manchester City,Premier League,2009-2010,29000000.0
Joleon Lescott,Centre-Back,27,Everton,Premier League,Manchester City,Premier League,2009-2010,27500000.0
Roque Santa Cruz,Centre-Forward,27,Blackburn,Premier League,Manchester City,Premier League,2009-2010,21200000.0
Yuri Zhirkov,Left Midfield,25,CSKA Moscow,Premier Liga,Chelsea,Premier League,2009-2010,21000000.0
Glen Johnson,Right-Back,24,Portsmouth,Premier League,Liverpool,Premier League,2009-2010,20500000.0
Alberto Aquilani,Central Midfield,25,AS Roma,Serie A,Liverpool,Premier League,2009-2010,20000000.0
Antonio Valencia,Right-Back,23,Wigan,Premier League,Manchester United,Premier League,2009-2010,18900000.0
Kolo Touré,Centre-Back,28,Arsenal,Premier League,Manchester City,Premier League,2009-2010,18700000.0
Gareth Barry,Defensive Midfield,28,Aston Villa,Premier League,Manchester City,Premier League,2009-2010,13900000.0
Michael Turner,Centre-Back,25,Hull City,Premier League,Sunderland,Premier League,2009-2010,13600000.0
Stewart Downing,Left Midfield,25,Middlesbrough,Championship,Aston Villa,Premier League,2009-2010,13000000.0
Thomas Vermaelen,Centre-Back,23,AFC Ajax,Eredivisie,Arsenal,Premier League,2009-2010,12000000.0
Darren Bent,Centre-Forward,25,Spurs,Premier League,Sunderland,Premier League,2009-2010,11800000.0
Peter Crouch,Centre-Forward,28,Portsmouth,Premier League,Tottenham,Premier League,2009-2010,10500000.0
Diniyar Bilyaletdinov,Attacking Midfield,24,Loko Moscow,Premier Liga,Everton,Premier League,2009-2010,10000000.0
Fabian Delph,Central Midfield,19,Leeds,League One,Aston Villa,Premier League,2009-2010,9500000.0
Sébastien Bassong,Centre-Back,23,Newcastle,Championship,Tottenham,Premier League,2009-2010,9300000.0
Stephen Warnock,Left-Back,27,Blackburn,Premier League,Aston Villa,Premier League,2009-2010,9000000.0
Adam Johnson,Right Winger,22,Middlesbrough,Championship,Manchester City,Premier League,2009-2010,8000000.0
Kevin Doyle,Centre-Forward,25,Reading,Championship,Wolves,Premier League,2009-2010,7600000.0
Daniel Sturridge,Centre-Forward,19,Man City,Premier League,Chelsea,Premier League,2009-2010,7250000.0
Nikola Kalinic,Centre-Forward,21,Hajduk Split,1.HNL,Blackburn,Premier League,2009-2010,7000000.0
Robert Huth,Centre-Back,24,Middlesbrough,Championship,Stoke City,Premier League,2009-2010,7000000.0
Lee Cattermole,Defensive Midfield,21,Wigan,Premier League,Sunderland,Premier League,2009-2010,7000000.0
Richard Dunne,Centre-Back,29,Man City,Premier League,Aston Villa,Premier League,2009-2010,6800000.0
Johnny Heitinga,Centre-Back,25,Atlético Madrid,LaLiga,Everton,Premier League,2009-2010,6800000.0
Alessandro Diamanti,Second Striker,26,AS Livorno,Serie A,West Ham,Premier League,2009-2010,6800000.0
Sylvain Distin,Centre-Back,31,Portsmouth,Premier League,Everton,Premier League,2009-2010,6500000.0
Younès Kaboul,Centre-Back,24,Portsmouth,Premier League,Tottenham,Premier League,2009-2010,5900000.0
Roger Johnson,Centre-Back,26,Cardiff,Championship,Birmingham,Premier League,2009-2010,5900000.0
Kyle Naughton,Right-Back,20,Sheffield Utd.,Championship,Tottenham,Premier League,2009-2010,5900000.0
Kyle Walker,Right-Back,19,Sheffield Utd.,Championship,Tottenham,Premier League,2009-2010,5900000.0
Lorik Cana,Centre-Back,25,Marseille,Ligue 1,Sunderland,Premier League,2009-2010,5800000.0
Tuncay Sanli,Left Winger,27,Middlesbrough,Championship,Stoke City,Premier League,2009-2010,5700000.0
James Collins,Centre-Back,26,West Ham,Premier League,Aston Villa,Premier League,2009-2010,5700000.0
James McCarthy,Central Midfield,18,Hamilton Acad.,Premiership,Wigan,Premier League,2009-2010,5100000.0
Zat Knight,Centre-Back,29,Aston Villa,Premier League,Bolton,Premier League,2009-2010,4700000.0
Steven Fletcher,Centre-Forward,22,Hibernian FC,Premiership,Burnley,Premier League,2009-2010,4700000.0
Kevin-Prince Boateng,Central Midfield,22,Spurs,Premier League,Portsmouth,Premier League,2009-2010,4500000.0
Mame Diouf,Centre-Forward,21,Molde FK,Eliteserien,Manchester United,Premier League,2009-2010,4500000.0
Fraizer Campbell,Centre-Forward,21,Man Utd,Premier League,Sunderland,Premier League,2009-2010,4100000.0
Damien Duff,Right Midfield,30,Newcastle,Championship,Fulham,Premier League,2009-2010,4000000.0
Stephen Hunt,Left Midfield,28,Reading,Championship,Hull City,Premier League,2009-2010,4000000.0
Gabriel Obertan,Right Winger,20,G. Bordeaux,Ligue 1,Manchester United,Premier League,2009-2010,4000000.0
Gaël Givet,Centre-Back,27,Marseille,Ligue 1,Blackburn,Premier League,2009-2010,4000000.0
Scott Dann,Centre-Back,22,Coventry City,Championship,Birmingham,Premier League,2009-2010,4000000.0
Radoslav Kovac,Centre-Back,29,Spartak Moscow,Premier Liga,West Ham,Premier League,2009-2010,3800000.0
Asmir Begovic,Goalkeeper,22,Portsmouth,Premier League,Stoke City,Premier League,2009-2010,3750000.0
Hérita Ilunga,Left-Back,27,Toulouse,Ligue 1,West Ham,Premier League,2009-2010,3500000.0
Dean Whitehead,Central Midfield,27,Sunderland,Premier League,Stoke City,Premier League,2009-2010,3500000.0
Seyi Olofinjana,Central Midfield,29,Stoke City,Premier League,Hull City,Premier League,2009-2010,3500000.0
Craig Gardner,Central Midfield,23,Aston Villa,Premier League,Birmingham,Premier League,2009-2010,3500000.0
Míchel,Central Midfield,24,Sporting Gijón,LaLiga,Birmingham,Premier League,2009-2010,3300000.0
Fernando Torres,Centre-Forward,26,Liverpool,Premier League,Chelsea,Premier League,2010-2011,58500000.0
Andy Carroll,Centre-Forward,22,Newcastle,Premier League,Liverpool,Premier League,2010-2011,41000000.0
Edin Dzeko,Centre-Forward,24,VfL Wolfsburg,1.Bundesliga,Manchester City,Premier League,2010-2011,37000000.0
Yaya Touré,Central Midfield,27,FC Barcelona,LaLiga,Manchester City,Premier League,2010-2011,30000000.0
Mario Balotelli,Centre-Forward,20,Inter,Serie A,Manchester City,Premier League,2010-2011,29500000.0
David Silva,Attacking Midfield,24,Valencia CF,LaLiga,Manchester City,Premier League,2010-2011,28750000.0
Luis Suárez,Centre-Forward,24,AFC Ajax,Eredivisie,Liverpool,Premier League,2010-2011,26500000.0
David Luiz,Centre-Back,23,Benfica,Liga NOS,Chelsea,Premier League,2010-2011,25000000.0
Aleksandar Kolarov,Left-Back,24,Lazio,Serie A,Manchester City,Premier League,2010-2011,23860000.0
James Milner,Central Midfield,24,Aston Villa,Premier League,Manchester City,Premier League,2010-2011,22000000.0
Ramires,Central Midfield,23,Benfica,Liga NOS,Chelsea,Premier League,2010-2011,22000000.0
Darren Bent,Centre-Forward,26,Sunderland,Premier League,Aston Villa,Premier League,2010-2011,21500000.0
Asamoah Gyan,Centre-Forward,24,Stade Rennais,Ligue 1,Sunderland,Premier League,2010-2011,16000000.0
Raúl Meireles,Central Midfield,27,FC Porto,Liga NOS,Liverpool,Premier League,2010-2011,13000000.0
Jérôme Boateng,Centre-Back,21,Hamburger SV,1.Bundesliga,Manchester City,Premier League,2010-2011,12500000.0
Laurent Koscielny,Centre-Back,24,FC Lorient,Ligue 1,Arsenal,Premier League,2010-2011,12500000.0
Rafael van der Vaart,Attacking Midfield,27,Real Madrid,LaLiga,Tottenham,Premier League,2010-2011,10500000.0
Sandro,Defensive Midfield,21,Internacional,Série A,Tottenham,Premier League,2010-2011,10000000.0
Stephen Ireland,Attacking Midfield,24,Man City,Premier League,Aston Villa,Premier League,2010-2011,9700000.0
Kenwyne Jones,Centre-Forward,25,Sunderland,Premier League,Stoke City,Premier League,2010-2011,9700000.0
Bebé,Left Winger,20,Vit. Guimarães,Liga NOS,Manchester United,Premier League,2010-2011,8800000.0
Chris Smalling,Centre-Back,20,Fulham,Premier League,Manchester United,Premier League,2010-2011,8000000.0
Chicharito,Centre-Forward,22,Chivas,Liga MX Clausura,Manchester United,Premier League,2010-2011,7500000.0
Steven Fletcher,Centre-Forward,23,Burnley,Championship,Wolves,Premier League,2010-2011,7200000.0
Yossi Benayoun,Right Winger,30,Liverpool,Premier League,Chelsea,Premier League,2010-2011,7000000.0
Stéphane Sessègnon,Attacking Midfield,26,Paris SG,Ligue 1,Sunderland,Premier League,2010-2011,7000000.0
Nikola Zigic,Centre-Forward,29,Valencia CF,LaLiga,Birmingham,Premier League,2010-2011,7000000.0
Ben Foster,Goalkeeper,27,Man Utd,Premier League,Birmingham,Premier League,2010-2011,7000000.0
Sébastien Squillaci,Centre-Back,30,Sevilla FC,LaLiga,Arsenal,Premier League,2010-2011,6500000.0
Jean II Makoun,Defensive Midfield,27,Olympique Lyon,Ligue 1,Aston Villa,Premier League,2010-2011,6200000.0
Mousa Dembélé,Central Midfield,23,AZ Alkmaar,Eredivisie,Fulham,Premier League,2010-2011,6000000.0
Hatem Ben Arfa,Attacking Midfield,23,Marseille,Ligue 1,Newcastle,Premier League,2010-2011,6000000.0
Tomas Kalas,Centre-Back,17,Sigma Olomouc,HET Liga,Chelsea,Premier League,2010-2011,6000000.0
Christian Poulsen,Defensive Midfield,30,Juventus,Serie A,Liverpool,Premier League,2010-2011,5480000.0
Anders Lindegaard,Goalkeeper,26,Aalesund,Eliteserien,Manchester United,Premier League,2010-2011,5000000.0
Pablo Barrera,Right Winger,23,UNAM Pumas,Liga MX Clausura,West Ham,Premier League,2010-2011,4800000.0
Jean Beausejour,Left-Back,26,América,Liga MX Clausura,Birmingham,Premier League,2010-2011,4800000.0
Cheik Tioté,Defensive Midfield,24,FC Twente,Eredivisie,Newcastle,Premier League,2010-2011,4280000.0
Winston Reid,Centre-Back,22,FC Midtjylland,Superligaen,West Ham,Premier League,2010-2011,4200000.0
Curtis Davies,Centre-Back,25,Aston Villa,Premier League,Birmingham,Premier League,2010-2011,4000000.0
Paul Konchesky,Left-Back,29,Fulham,Premier League,Liverpool,Premier League,2010-2011,4000000.0
